order_id,steel,diameter,length,weight,density
A20260101,GB40,28.0,6.4,28901.0,9860
A20260102,GB40,28.0,6.3,60744.0,9860
A20260103,GB40,28.0,6.4,35372.0,9860
A20260104,GB40,28.0,6.4,40435.0,9860
A20260105,GB40,28.0,4.75,46522.0,9860
A20260106,GB40,28.0,4.9,35524.0,9860
A20260107,GB40,28.0,6.1,52609.0,9860
A20260108,GB40,28.0,4.55,22167.0,9860
A20260109,GB40,28.0,5.27,16128.0,9860
A20260110,GB40,28.0,4.9,47206.0,9860
A20260111,GB40,28.0,4.9,22640.0,9860
A20260112,GB40,28.0,4.9,16318.999999999998,9860
A20260113,GB40,28.0,4.9,60560.0,9860
A20260114,GB40,28.0,4.9,73200.0,9860
A20260115,GB40,28.0,4.9,53027.0,9860
A20260116,GB40,28.0,4.9,22253.0,9860
A20260117,GB40,28.0,6.9,40620.0,9860
A20260118,GB40,28.0,4.15,25320.0,9860
A20260119,GB40,28.0,4.9,116782.0,9860
A20260120,GB40,28.0,6.1,34638.0,9860
A20260121,GB40,28.0,6.1,124908.0,9860
A20260122,GB40,28.0,6.1,124700.0,9860
A20260123,GB40,28.0,6.1,71470.0,9860
A20260124,GB40,28.0,6.15,63270.0,9860
A20260125,GB40,28.0,4.45,46525.0,9860
A20260126,GB40,28.0,4.9,40370.0,9860
A20260127,GB40,28.0,4.6,16074.000000000002,9860
A20260128,GB40,28.0,5.4,22976.0,9860
A20260129,GB40,28.0,4.9,22600.0,9860
A20260130,GB40,28.0,4.9,126200.0,9860
A20260131,GB40,28.0,7.9,55323.0,9860
A20260132,GB40,28.0,4.901,105094.0,9860
A20260133,GB40,28.0,4.9,76352.0,9860
A20260134,GB40,28.0,4.9,34364.0,9860
A20260135,GB40,28.0,6.4,35170.0,9860
A20260136,GB40,28.0,6.4,92784.0,9860
A20260137,GB40,28.0,7.9,79748.0,9860
A20260138,GB40,28.0,7.9,124225.0,9860
A20260139,GB40,28.0,7.9,86540.0,9860
A20260140,GB40,28.0,4.9,16088.999999999998,9860
A20260141,GB40,28.0,4.9,28480.0,9860
A20260142,GB40,28.0,6.36,85360.0,9860
A20260143,GB40,28.0,6.07,25056.0,9860
A20260144,GB40,28.0,6.14,52196.0,9860
A20260145,GB40,28.0,6.2,17660.0,9860
A20260146,GB40,28.0,6.2,33046.0,9860
A20260147,GB40,28.0,5.84,25363.0,9860
A20260148,GB40,28.0,6.1,30600.0,9860
A20260149,GB40,28.0,7.9,22264.0,9860
A20260150,GB40,28.0,4.9,76814.0,9860
A20260151,GB40,28.0,6.4,22740.0,9860
A20260152,GB40,28.0,6.4,26376.0,9860
A20260153,GB40,28.0,6.4,48052.0,9860
A20260154,GB40,28.0,4.9,47992.0,9860
A20260155,GB40,28.0,6.55,84127.0,9860
A20260156,GB40,28.0,6.55,24913.0,9860
