订单号,订单重量(t),坯料钢种,订单直径(mm),订单定尺(mm),所有密度为9.86 g/cm^3
A20260101,28.901,GB40,28.00 ,6400,
A20260102,60.744,GB40,28.00 ,6300,
A20260103,35.372,GB40,28.00 ,6400,
A20260104,40.435,GB40,28.00 ,6400,
A20260105,46.522,GB40,28.00 ,4750,
A20260106,35.524,GB40,28.00 ,4900,
A20260107,52.609,GB40,28.00 ,6100,
A20260108,22.167,GB40,28.00 ,4550,
A20260109,16.128,GB40,28.00 ,5270,
A20260110,47.206,GB40,28.00 ,4900,
A20260111,22.640,GB40,28.00 ,4900,
A20260112,16.319,GB40,28.00 ,4900,
A20260113,60.560,GB40,28.00 ,4900,
A20260114,73.200,GB40,28.00 ,4900,
A20260115,53.027,GB40,28.00 ,4900,
A20260116,22.253,GB40,28.00 ,4900,
A20260117,40.620,GB40,28.00 ,6900,
A20260118,25.320,GB40,28.00 ,4150,
A20260119,116.782,GB40,28.00 ,4900,
A20260120,34.638,GB40,28.00 ,6100,
A20260121,124.908,GB40,28.00 ,6100,
A20260122,124.700,GB40,28.00 ,6100,
A20260123,71.470,GB40,28.00 ,6100,
A20260124,63.270,GB40,28.00 ,6150,
A20260125,46.525,GB40,28.00 ,4450,
A20260126,40.370,GB40,28.00 ,4900,
A20260127,16.074,GB40,28.00 ,4600,
A20260128,22.976,GB40,28.00 ,5400,
A20260129,22.600,GB40,28.00 ,4900,
A20260130,126.200,GB40,28.00 ,4900,
A20260131,55.323,GB40,28.00 ,7900,
A20260132,105.094,GB40,28.00 ,4901,
A20260133,76.352,GB40,28.00 ,4900,
A20260134,34.364,GB40,28.00 ,4900,
A20260135,35.170,GB40,28.00 ,6400,
A20260136,92.784,GB40,28.00 ,6400,
A20260137,79.748,GB40,28.00 ,7900,
A20260138,124.225,GB40,28.00 ,7900,
A20260139,86.540,GB40,28.00 ,7900,
A20260140,16.089,GB40,28.00 ,4900,
A20260141,28.480,GB40,28.00 ,4900,
A20260142,85.360,GB40,28.00 ,6360,
A20260143,25.056,GB40,28.00 ,6070,
A20260144,52.196,GB40,28.00 ,6140,
A20260145,17.660,GB40,28.00 ,6200,
A20260146,33.046,GB40,28.00 ,6200,
A20260147,25.363,GB40,28.00 ,5840,
A20260148,30.600,GB40,28.00 ,6100,
A20260149,22.264,GB40,28.00 ,7900,
A20260150,76.814,GB40,28.00 ,4900,
A20260151,22.740,GB40,28.00 ,6400,
A20260152,26.376,GB40,28.00 ,6400,
A20260153,48.052,GB40,28.00 ,6400,
A20260154,47.992,GB40,28.00 ,4900,
A20260155,84.127,GB40,28.00 ,6550,
A20260156,24.913,GB40,28.00 ,6550,
A20260157,59.140,GB40,28.00 ,6550,
A20260158,41.580,GB40,28.00 ,6250,
A20260159,28.990,GB40,28.00 ,6250,
A20260160,59.140,GB40,28.00 ,6650,
A20260161,120.520,GB40,28.00 ,6650,
A20260162,114.500,GB40,28.00 ,6650,
A20260163,28.460,GB40,28.00 ,6650,
A20260164,34.352,GB40,28.00 ,4700,
A20260165,34.364,GB40,28.00 ,6800,
A20260166,96.088,GB40,28.00 ,6400,
A20260167,25.812,GB40,28.00 ,6400,
A20260168,34.948,GB40,28.00 ,3900,
