order_id,steel,diameter,length,weight,density
B20270001,NP01,43.0,4.45,16850.0,9860
B20270002,NP01,43.0,4.9,15374.0,9860
B20270003,NP01,43.0,4.55,40165.0,9860
B20270004,NP01,43.0,4.9,69324.0,9860
B20270005,NP01,43.0,8.97,25379.0,9860
B20270006,NP01,43.0,5.4,15693.0,9860
B20270007,NP01,43.0,6.84,34560.0,9860
B20270008,NP01,43.0,5.9,29161.0,9860
B20270009,NP01,43.0,6.4,41801.0,9860
B20270010,NP01,43.0,5.9,23155.0,9860
B20270011,NP01,43.0,4.9,29803.0,9860
B20270012,NP01,43.0,6.4,17515.0,9860
B20270013,NP01,43.0,11.4,23642.0,9860
B20270014,NP01,43.0,6.2,29914.0,9860
B20270015,NP01,43.0,6.4,28844.0,9860
B20270016,NP01,43.0,8.78,140672.0,9860
B20270017,NP01,43.0,4.9,31318.0,9860
B20270018,NP01,43.0,4.9,51419.0,9860
B20270019,NP01,43.0,6.78,60640.0,9860
B20270020,NP01,43.0,4.9,28070.0,9860
B20270021,NP01,43.0,4.9,17847.0,9860
B20270022,NP01,43.0,6.1,62983.0,9860
B20270023,NP01,43.0,4.9,58871.0,9860
B20270024,NP01,43.0,4.9,98099.0,9860
B20270025,NP01,43.0,6.4,17305.0,9860
B20270026,NP01,43.0,6.4,53006.0,9860
B20270027,NP01,43.0,6.1,19158.0,9860
B20270028,NP01,43.0,5.33,17571.0,9860
B20270029,NP01,43.0,6.35,40988.0,9860
B20270030,NP01,43.0,6.3,22015.0,9860
B20270031,NP01,43.0,4.7,39747.0,9860
B20270032,NP01,43.0,6.4,54550.0,9860
B20270033,NP01,43.0,4.9,60956.0,9860
B20270034,NP01,43.0,4.95,25975.0,9860
B20270035,NP01,43.0,4.9,51716.0,9860
B20270036,NP01,43.0,4.9,12559.0,9860
B20270037,NP01,43.0,4.9,63863.0,9860
B20270038,NP01,43.0,4.9,15188.0,9860
B20270039,NP01,43.0,7.0,89138.0,9860
B20270040,NP01,43.0,6.1,64858.00000000001,9860
B20270041,NP01,43.0,4.9,78043.0,9860
B20270042,NP01,43.0,4.9,18375.0,9860
B20270043,NP01,43.0,7.75,29123.0,9860
B20270044,NP01,43.0,6.54,46540.0,9860
B20270045,NP01,43.0,4.9,69950.0,9860
B20270046,NP01,43.0,4.901,111663.0,9860
B20270047,NP01,43.0,6.4,37438.0,9860
B20270048,NP01,43.0,4.9,85815.0,9860
B20270049,NP01,43.0,4.9,102942.0,9860
B20270050,NP01,43.0,6.4,12630.0,9860
B20270051,NP01,43.0,4.9,23708.0,9860
B20270052,NP01,43.0,5.0,48553.0,9860
B20270053,NP01,43.0,4.9,12020.0,9860
B20270054,NP01,43.0,4.9,85114.0,9860
B20270055,NP01,43.0,6.4,79257.0,9860
B20270056,NP01,43.0,8.15,17741.0,9860
B20270057,NP01,43.0,4.9,64858.99999999999,9860
B20270058,NP01,43.0,6.15,31760.0,9860
B20270059,NP01,43.0,3.8,12463.0,9860
B20270060,NP01,43.0,8.15,65149.0,9860
B20270061,NP01,43.0,4.901,59806.0,9860
B20270062,NP01,43.0,4.901,30091.0,9860
B20270063,NP01,43.0,4.9,23562.0,9860
B20270064,NP01,43.0,6.4,21258.0,9860
B20270065,NP01,43.0,7.75,97994.0,9860
B20270066,NP01,43.0,4.9,23320.0,9860
B20270067,NP01,43.0,4.9,73144.0,9860
B20270068,NP01,43.0,6.1,10227.0,9860
