订单号,订单重量,钢种,规格,定尺长度
B20270001,16.85,NP01,43,4450
B20270002,15.374,NP01,43,4900
B20270003,40.165,NP01,43,4550
B20270004,69.324,NP01,43,4900
B20270005,25.379,NP01,43,8970
B20270006,15.693,NP01,43,5400
B20270007,34.56,NP01,43,6840
B20270008,29.161,NP01,43,5900
B20270009,41.801,NP01,43,6400
B20270010,23.155,NP01,43,5900
B20270011,29.803,NP01,43,4900
B20270012,17.515,NP01,43,6400
B20270013,23.642,NP01,43,11400
B20270014,29.914,NP01,43,6200
B20270015,28.844,NP01,43,6400
B20270016,140.672,NP01,43,8780
B20270017,31.318,NP01,43,4900
B20270018,51.419,NP01,43,4900
B20270019,60.64,NP01,43,6780
B20270020,28.07,NP01,43,4900
B20270021,17.847,NP01,43,4900
B20270022,62.983,NP01,43,6100
B20270023,58.871,NP01,43,4900
B20270024,98.099,NP01,43,4900
B20270025,17.305,NP01,43,6400
B20270026,53.006,NP01,43,6400
B20270027,19.158,NP01,43,6100
B20270028,17.571,NP01,43,5330
B20270029,40.988,NP01,43,6350
B20270030,22.015,NP01,43,6300
B20270031,39.747,NP01,43,4700
B20270032,54.55,NP01,43,6400
B20270033,60.956,NP01,43,4900
B20270034,25.975,NP01,43,4950
B20270035,51.716,NP01,43,4900
B20270036,12.559,NP01,43,4900
B20270037,63.863,NP01,43,4900
B20270038,15.188,NP01,43,4900
B20270039,89.138,NP01,43,7000
B20270040,64.858,NP01,43,6100
B20270041,78.043,NP01,43,4900
B20270042,18.375,NP01,43,4900
B20270043,29.123,NP01,43,7750
B20270044,46.54,NP01,43,6540
B20270045,69.95,NP01,43,4900
B20270046,111.663,NP01,43,4901
B20270047,37.438,NP01,43,6400
B20270048,85.815,NP01,43,4900
B20270049,102.942,NP01,43,4900
B20270050,12.63,NP01,43,6400
B20270051,23.708,NP01,43,4900
B20270052,48.553,NP01,43,5000
B20270053,12.02,NP01,43,4900
B20270054,85.114,NP01,43,4900
B20270055,79.257,NP01,43,6400
B20270056,17.741,NP01,43,8150
B20270057,64.859,NP01,43,4900
B20270058,31.76,NP01,43,6150
B20270059,12.463,NP01,43,3800
B20270060,65.149,NP01,43,8150
B20270061,59.806,NP01,43,4901
B20270062,30.091,NP01,43,4901
B20270063,23.562,NP01,43,4900
B20270064,21.258,NP01,43,6400
B20270065,97.994,NP01,43,7750
B20270066,23.32,NP01,43,4900
B20270067,73.144,NP01,43,4900
B20270068,10.227,NP01,43,6100
B20270069,32.158,NP01,43,4900
B20270070,36.165,NP01,43,4900
B20270071,47.038,NP01,43,5700
B20270072,20.07,NP01,43,10000
B20270073,63.381,NP01,43,4900
B20270074,40.389,NP01,43,4900
B20270075,141.467,NP01,43,4900
B20270076,24.631,NP01,43,4900
B20270077,37.068,NP01,43,6400
B20270078,24.213,NP01,43,4901
B20270079,35.349,NP01,43,7400
B20270080,134.067,NP01,43,5900
B20270081,5.152,NP01,43,7750
B20270082,88.627,NP01,43,7000
B20270083,51.339,NP01,43,4900
B20270084,108.497,NP01,43,4900
B20270085,52.534,NP01,43,5300
B20270086,93.505,NP01,43,5700
B20270087,47.368,NP01,43,4900
B20270088,62.595,NP01,43,4900
B20270089,13.084,NP01,43,3800
B20270090,24.028,NP01,43,4900
B20270091,15.746,NP01,43,4900
B20270092,37.392,NP01,43,4500
B20270093,53.146,NP01,43,5400
B20270094,36.659,NP01,43,4900
B20270095,59.327,NP01,43,4900
B20270096,31.06,NP01,43,4901
B20270097,34.758,NP01,43,5900
B20270098,18.137,NP01,43,5900
B20270099,42.146,NP01,43,6900
B20270100,25.243,NP01,43,6100
B20270101,16.218,NP01,43,8780
B20270102,18.94,NP01,43,7000
B20270103,56.177,NP01,43,4900
B20270104,16.747,NP01,43,4900
B20270105,76.569,NP01,43,4900
B20270106,29.118,NP01,43,4900
B20270107,19.787,NP01,43,4900
B20270108,7.521,NP01,43,6800
B20270109,50.147,NP01,43,7000
B20270110,35.736,NP01,43,5400
B20270111,6.05,NP01,43,5360
B20270112,19.816,NP01,43,4900
B20270113,20.092,NP01,43,6150
B20270114,42.577,NP01,43,4900
B20270115,100.752,NP01,43,4901
B20270116,34.05,NP01,43,6400
B20270117,105.256,NP01,43,4900
B20270118,22.358,NP01,43,4900
B20270119,43.705,NP01,43,6400
B20270120,40.789,NP01,43,4901
B20270121,10.404,NP01,43,5900
B20270122,59.252,NP01,43,4900
B20270123,38.293,NP01,43,4900
B20270124,56.827,NP01,43,5900
B20270125,24.057,NP01,43,4900
B20270126,31.215,NP01,43,4900
B20270127,31.569,NP01,43,4900
B20270128,15.811,NP01,43,5000
B20270129,54.053,NP01,43,4900
B20270130,11.485,NP01,43,7000
B20270131,44.157,NP01,43,5900
B20270132,122.53,NP01,43,4900
B20270133,59.477,NP01,43,6700
B20270134,23.478,NP01,43,4900
B20270135,100.554,NP01,43,5400
B20270136,35.626,NP01,43,6000
B20270137,52.351,NP01,43,4900
B20270138,83.175,NP01,43,7750
B20270139,12.147,NP01,43,4900
B20270140,28.119,NP01,43,10900
B20270141,31.354,NP01,43,4900
B20270142,11.294,NP01,43,4900
B20270143,68.334,NP01,43,5060
B20270144,12.483,NP01,43,4900
B20270145,115.94,NP01,43,6400
B20270146,15.05,NP01,43,5900
B20270147,136.954,NP01,43,4900
B20270148,49.772,NP01,43,5330
B20270149,88.667,NP01,43,6100
B20270150,12.369,NP01,43,5900
B20270151,48.722,NP01,43,6150
B20270152,29.711,NP01,43,5900
B20270153,51.572,NP01,43,6600
B20270154,34.405,NP01,43,5900
B20270155,18.185,NP01,43,4900
B20270156,64.012,NP01,43,5900
B20270157,22.549,NP01,43,6400
B20270158,14.875,NP01,43,4900
B20270159,12.234,NP01,43,4900
B20270160,36.634,NP01,43,4400
B20270161,58.402,NP01,43,4900
B20270162,54.935,NP01,43,4900
B20270163,23.949,NP01,43,4550
B20270164,42.185,NP01,43,4900
B20270165,67.125,NP01,43,6650
B20270166,22.446,NP01,43,4900
B20270167,39.805,NP01,43,7750
B20270168,129.704,NP01,43,5700
B20270169,26.006,NP01,43,6540
B20270170,17.588,NP01,43,3900
B20270171,112.611,NP01,43,5900
B20270172,23.554,NP01,43,4900
B20270173,44.814,NP01,43,5400
B20270174,15.73,NP01,43,4780
B20270175,24.74,NP01,43,8900
B20270176,7.236,NP01,43,4900
B20270177,12.49,NP01,43,6300
B20270178,34.599,NP01,43,5270
B20270179,94.955,NP01,43,7000
B20270180,35.235,NP01,43,4900
B20270181,37.625,NP01,43,4900
B20270182,12.618,NP01,43,4900
B20270183,17.164,NP01,43,7750
B20270184,76.647,NP01,43,4900
B20270185,85.82,NP01,43,6100
B20270186,13.192,NP01,43,6400
B20270187,24.987,NP01,43,4900
B20270188,5.487,NP01,43,7750
B20270189,24.226,NP01,43,4500
B20270190,12.454,NP01,43,6600
B20270191,117.529,NP01,43,6100
B20270192,39.422,NP01,43,6100
B20270193,12.583,NP01,43,5900
B20270194,18.317,NP01,43,4900
B20270195,111.278,NP01,43,4900
B20270196,43.359,NP01,43,7000
B20270197,46.878,NP01,43,4900
B20270198,19.076,NP01,43,4900
B20270199,14.573,NP01,43,5900
B20270200,66.98,NP01,43,4900
B20270201,11.974,NP01,43,4900
B20270202,24.166,NP01,43,4900
B20270203,42.493,NP01,43,4900
B20270204,35.217,NP01,43,6100
B20270205,52.364,NP01,43,6140
B20270206,77.67,NP01,43,4900
B20270207,81.19,NP01,43,10060
B20270208,30.841,NP01,43,4550
B20270209,18.964,NP01,43,4900
B20270210,117.503,NP01,43,4700
B20270211,20.832,NP01,43,6400
B20270212,23.962,NP01,43,4901
B20270213,131.995,NP01,43,5200
B20270214,36.824,NP01,43,6150
B20270215,55.403,NP01,43,4400
B20270216,11.492,NP01,43,4780
B20270217,50.846,NP01,43,4900
B20270218,40.449,NP01,43,4900
B20270219,30.788,NP01,43,5900
B20270220,19.042,NP01,43,5200
B20270221,24.547,NP01,43,4900
B20270222,78.923,NP01,43,4900
B20270223,18.466,NP01,43,6100
B20270224,6.807,NP01,43,4900
B20270225,22.791,NP01,43,4450
B20270226,59.386,NP01,43,4700
B20270227,55.336,NP01,43,6550
B20270228,18.548,NP01,43,4550
B20270229,57.555,NP01,43,6400
B20270230,35.101,NP01,43,4900
B20270231,12.379,NP01,43,6400
B20270232,12.352,NP01,43,4900
B20270233,59.542,NP01,43,6140
B20270234,24.055,NP01,43,7400
B20270235,29.811,NP01,43,5200
B20270236,64.335,NP01,43,5900
B20270237,72.987,NP01,43,6900
B20270238,105.803,NP01,43,6780
B20270239,26.502,NP01,43,6100
B20270240,12.161,NP01,43,6100
B20270241,18.93,NP01,43,5970
B20270242,8.88,NP01,43,5150
B20270243,56.284,NP01,43,6300
B20270244,5.063,NP01,43,4900
B20270245,26.748,NP01,43,8970
B20270246,110.748,NP01,43,5300
B20270247,23.478,NP01,43,6400
B20270248,59.607,NP01,43,7900
B20270249,24.484,NP01,43,5400
B20270250,22.322,NP01,43,6900
B20270251,54.687,NP01,43,4900
B20270252,18.532,NP01,43,4900
B20270253,83.903,NP01,43,5080
B20270254,25.788,NP01,43,4900
B20270255,24.476,NP01,43,5900
B20270256,34.199,NP01,43,5900
B20270257,69.708,NP01,43,9000
B20270258,17.712,NP01,43,4900
B20270259,12.006,NP01,43,6100
B20270260,55.268,NP01,43,5150
B20270261,30.087,NP01,43,6070
